,win,pgn
9014,1,1.d4 d6 2.c4 e5 3.d5 a5 4.Nc3 Na6 5.e4 Nc5 6.Be3 Be7 7.Nf3 Bg4 8.Bxc5 dxc5 9.Qa4+ Bd7 10.Qc2 Bf6 11.O-O-O Ne7 12.Ne1 O-O 13.Nd3 b6 14.g3 Nc8 15.a4 Nd6 16.b3 g6 17.h4 Bg7 18.f3 f5 19.Bg2 Qe7 20.Rde1 f4 21.Qf2 fxg3 22.Qxg3 Bh6+ 23.Kc2 Bf4 24.Nxf4 exf4 25.Qg5 Qxg5 26.hxg5 Nf7 27.e5 Bf5+ 28.Kc1 Nxg5 29.Rh4 Nf7 30.Rxf4 Rae8 31.e6 Nd6 32.Rh4 Kg7 33.f4 h5 34.Bf3 Kf6 35.Rg1 Ke7 36.Kd2 Rf6 37.Rh2 Rh8 38.Rgh1 Kd8 39.Rh4 c6 40.Rg1 cxd5 41.cxd5 Ke7 42.Ne2 Rd8 43.Ng3 c4 44.bxc4 Nxc4+ 45.Ke2 Nd6 46.Nxh5 Rh8 47.Nxf6 Rxh4 48.Ng4 b5 49.axb5 Nxb5 50.Ke3 Nc3 51.Ne5 Rh3 52.Kd4 Rxf3 53.Nxf3 Ne2+ 54.Ke5 Nxg1 55.d6+ Ke8 56.Nd4 
7574,1,1.d4 Nf6 2.c4 e6 3.g3 Bb4+ 4.Bd2 Be7 5.Bg2 d5 6.Nf3 O-O 7.O-O c6 8.Qc2 Nbd7 9.Bf4 Nh5 10.Bc1 f5 11.b3 Bd6 12.Ba3 Bxa3 13.Nxa3 Qe7 14.Qb2 a5 15.Nc2 Nhf6 16.Nce1 b6 17.Nd3 Bb7 18.Rac1 Rfc8 19.Nfe5 Nxe5 20.Nxe5 c5 21.Rfd1 Rc7 22.Nd3 dxc4 23.Bxb7 Rxb7 24.Rxc4 cxd4 25.Ne5 b5 26.Rc6 Rc7 27.Qxd4 Rac8 28.Qb6 Rxc6 29.Nxc6 Qc7 30.Rd8+ Kf7 31.Qc5 Rxd8 32.Ne5+ Qxe5 33.Qxe5 Nd5 34.Qd4 Ra8 35.f3 b4 36.e4 fxe4 37.fxe4 Nc3 38.Qd7+ Kf6 39.e5+ Kxe5 40.Qxg7+ Kd6 41.Qxh7 Rf8 42.h4 Rf3 43.Kg2 Re3 44.h5 Ne4 45.Qg6 
3826,1,1.d4 g6 2.c4 Bg7 3.Nc3 Nf6 4.e4 d6 5.Nf3 O-O 6.Be2 c6 7.O-O e5 8.Qc2 exd4 9.Nxd4 Re8 10.Bg5 Qa5 11.Bh4 Nxe4 12.Nxe4 Qe5 13.Bf3 Qxd4 14.Rad1 Qxb2 15.Qxb2 Bxb2 16.Nxd6 Rf8 17.Be7 Be6 18.Bxf8 Kxf8 19.Nxb7 Bxc4 20.Rd8+ Ke7 21.Re1+ Kf6 22.Nc5 
8690,1,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 dxc4 5.a4 Bf5 6.Ne5 Nbd7 7.Nxc4 Nd5 8.Bg5 Qc7 9.f3 e5 10.e4 Nxc3 11.bxc3 Bg6 12.Be2 f6 13.Bh4 b5 14.axb5 cxb5 15.Nd2 b4 16.dxe5 bxc3 17.Nc4 c2 18.Qxc2 Bb4+ 19.Kf1 fxe5 20.Qa4 Be7 21.Bxe7 Kxe7 22.Qa3+ Kf6 23.Ne3 Bf7 24.Rc1 Qb6 25.Ng4+ Kg6 26.Rd1 Be6 27.Rd6 Qb1+ 28.Kf2 Qxh1 29.Rxe6+ 
561,1,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 c5 5.Ne2 cxd4 6.exd4 d5 7.a3 Be7 8.c5 b6 9.b4 bxc5 10.dxc5 O-O 11.Bf4 Nc6 12.Nd4 Nxd4 13.Qxd4 Nd7 14.Bg3 Bb7 15.Qd2 Bg5 16.f4 Bf6 17.Bd3 e5 18.fxe5 Nxe5 19.O-O Nc4 20.Bxc4 dxc4 21.Bd6 Re8 22.Rae1 Qd7 23.Nd5 Bxd5 24.Qxd5 Qb5 25.Be7 c3 26.Bxf6 gxf6 27.Rc1 Rad8 28.Qb3 Rd2 29.Rxc3 Qd7 30.Rg3+ Kf8 31.Qc3 Ree2 32.Qxf6 Qd5 33.Qg7+ Ke7 34.h3 
3961,1,1.d4 Nf6 2.c4 d6 3.Nc3 e5 4.Nf3 e4 5.Ng5 Bf5 6.g4 Bxg4 7.Bg2 Nc6 8.Ngxe4 Nxe4 9.Bxe4 Qd7 10.Qb3 Rb8 11.Be3 Ne7 12.d5 b6 13.Rg1 g6 14.Bd4 Rg8 15.Bd3 f5 16.Rxg4 fxg4 17.Ne4 Kd8 18.Nf6 Qc8 19.Nxg8 Nxg8 20.O-O-O Qd7 21.Qa3 a5 22.Bc2 Bg7 23.Ba4 Qe7 24.Qc3 Bxd4 25.Qxd4 Qg5+ 26.Kb1 Nf6 27.f4 gxf3 28.exf3 Ke7 29.f4 Qh4 30.Qe3+ Kf8 31.a3 Ng8 32.Re1 Kg7 33.Qg3 Qxg3 34.hxg3 Rf8 35.Kc2 Nf6 36.Kd3 Rf7 37.Re3 g5 38.Bd1 gxf4 39.gxf4 Nd7 40.Rg3+ Kf8 41.Bg4 Nc5+ 42.Ke3 Re7+ 43.Kf3 Nd3 44.b3 Nc5 45.b4 Nb3 46.Be6 Nd4+ 47.Ke4 Nxe6 48.dxe6 Rxe6+ 49.Kd5 Re7 50.Rh3 axb4 51.axb4 Kg7 52.f5 Kf6 53.Rh5 Rd7 54.b5 Re7 55.Kd4 Kg7 56.Kd3 Re8 57.Kd4 h6 58.Rh4 Re5 59.Rg4+ Kh7 60.f6 Rg5 61.Rxg5 hxg5 62.Kd5 g4 63.Ke6 g3 64.f7 g2 65.f8=Q g1=Q 66.Qf7+ Kh8 67.Qxc7 Qd4 68.Kd7 Kg8 69.Qc6 Kg7 70.Kc7 Qf4 71.Kxb6 Kf7 72.Qc7+ Ke6 73.c5 
3576,1,1.Nf3 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.d4 O-O 6.Be2 e5 7.O-O Nc6 8.Be3 Ng4 9.Bg5 f6 10.Bc1 exd4 11.Nxd4 Nxd4 12.Qxd4 Kh8 13.Qd1 Nh6 14.Be3 Be6 15.h3 c6 16.Qd2 Nf7 17.f4 f5 18.exf5 gxf5 19.Rad1 Qf6 20.Rfe1 a6 21.Bd4 Qxd4+ 22.Qxd4 Bxd4+ 23.Rxd4 Rad8 24.Bh5 c5 25.Rd2 Bxc4 26.b3 Bb5 27.Nxb5 axb5 28.Re7 Kg7 29.Rxb7 Rb8 30.Rxb8 Rxb8 31.Bxf7 Kxf7 32.Rxd6 c4 33.Rc6 Ra8 34.Rc5 Rxa2 35.Rxf5+ Ke6 36.Rxb5 cxb3 37.Rxb3 Kf5 38.Rb4 h5 39.Rb5+ Kg6
1416,1,1.d4 e6 2.c4 Bb4+ 3.Bd2 a5 4.Nc3 d6 5.e3 e5 6.Bd3 Nf6 7.Nge2 O-O 8.O-O Nc6 9.a3 Bxc3 10.Bxc3 Re8 11.d5 Nb8 12.Ng3 c6 13.dxc6 bxc6 14.Ne4 Nxe4 15.Bxe4 Ba6 16.Qa4 d5 17.cxd5 Bb5 18.Qc2 Bxf1 19.dxc6 Ra6 20.Rxf1 Nxc6 21.Bxh7+ Kf8 22.Bd3 Rb6 23.Bc4 e4 24.Rd1 Qc7 25.Bd5 Qb8 26.Bxc6 Rxc6 27.Bxg7+ 
9076,1,1.e4 c5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 5.d3 d6 6.Be3 e5 7.Qd2 Nge7 8.Bh6 Bxh6 9.Qxh6 Nd4 10.Rc1 Be6 11.Nf3 Qb6 12.Nd1 Qa5+ 13.c3 Nxf3+ 14.Bxf3 Qxa2 15.O-O Nc6 16.Ne3 O-O-O 17.Nd5 Kb8 18.Ra1 Qb3 19.Ra3 Qb5 20.Qd2 Bxd5 21.exd5 Ne7 22.Rfa1 a6 23.Ra5 Qd7 24.b4 cxb4 25.c4 Qc7 26.Qxb4 Ka7 27.Qa3 Qb6 28.Rb5 Qd4 29.c5 Ra8 30.c6 
7075,1,1.e4 Nc6 2.Nf3 d6 3.d4 Nf6 4.Nc3 Bg4 5.Be3 e6 6.d5 exd5 7.exd5 Ne5 8.Bb5+ Nfd7 9.Nxe5 Bxd1 10.Bxd7+ Ke7 11.Nc6+ bxc6 12.dxc6 f6 13.Rxd1 Kf7 14.Nd5 Be7 15.O-O f5 16.Bd4 Bf6 17.Bxf6 gxf6 18.Rfe1 Rb8 19.b3 Rb5 20.c4 Ra5 21.Re2 f4 22.Rde1 Rxd5 23.Be6+ Kg6 24.Bxd5 Qb8 25.Re7 Qb4 26.R1e6 Qc3 27.h4 Qa1+ 28.Kh2 Qd4 29.Be4+ Kh5 30.Bf3+ Kg6 31.Re4 Qd2 32.Rxc7 Qxf2 33.Rxf4 Qe1 34.Be4+ f5 35.Bxf5+ Kh6 36.Be4 Kh5 37.Rcf7 Qe3 38.R7f6 
